cohort,task,scene,method,success,role,from_round,prior_confirmed,model_all_phase_hit_cells,all_phase_actual_miss_cells,model_any_phase_hit_cells,any_phase_actual_miss_cells,actual_hit_cells,actual_outside_model_cells,needed_cells,needed_all_phase_hits,needed_all_phase_misses,needed_actual_hits,predicted_confirmation_all_phase,predicted_confirmation_any_phase,actual_prior_candidate_support_complete,actual_confirmation,newly_blocked_prior_viable,all_phase_candidate_support_false_positive
old212,95,eval-easy-002,generic,False,primary,1,False,1505,17,1559,18,1576,35,172,143,1,166,False,False,False,False,0,0
old212,95,eval-easy-002,generic,False,primary,2,False,1505,19,1558,21,1571,34,6,1,0,2,False,False,False,False,0,0
old212,96,eval-easy-002,ours,True,primary,1,False,905,0,956,2,1075,121,177,168,0,177,True,True,True,True,0,0
old212,97,eval-easy-002,fixed,True,secondary_baseline,1,False,814,0,828,0,1177,349,177,144,0,177,False,False,True,True,0,0
old212,99,eval-moderate-028,ours,True,primary,1,False,918,13,1004,19,1117,132,165,164,0,165,False,False,False,False,0,0
old212,99,eval-moderate-028,ours,True,primary,2,False,943,48,1054,52,1098,96,46,44,0,46,False,True,True,True,0,0
old212,100,eval-moderate-028,generic,True,primary,1,False,1113,17,1237,34,1331,128,165,164,0,165,False,False,False,False,0,0
old212,100,eval-moderate-028,generic,True,primary,2,False,1099,14,1248,23,1342,117,36,36,0,36,True,True,True,True,0,0
old212,101,eval-hard-028,generic,False,primary,1,False,893,22,977,38,1077,138,163,34,3,58,False,False,False,False,0,0
old212,101,eval-hard-028,generic,False,primary,2,False,835,1,900,3,1015,118,159,55,0,82,False,False,False,False,0,0
old212,102,eval-hard-028,ours,True,primary,1,False,683,2,723,2,868,147,161,143,0,159,False,False,False,False,0,0
old212,102,eval-hard-028,ours,True,primary,2,False,607,30,642,31,739,128,130,127,6,123,False,True,True,True,0,0
old212,103,eval-moderate-013,ours,True,primary,1,False,928,0,958,0,1100,142,162,158,0,162,False,True,True,True,0,0
old212,104,eval-moderate-013,generic,True,primary,1,False,1135,19,1270,45,1286,61,173,164,2,171,False,False,False,False,0,0
old212,104,eval-moderate-013,generic,True,primary,2,False,1139,11,1286,20,1320,54,21,20,0,21,True,True,True,True,0,0
old212,105,eval-hard-017,ours,True,primary,1,False,767,3,805,5,924,124,168,132,0,156,False,False,False,False,0,0
old212,105,eval-hard-017,ours,True,primary,2,False,564,0,595,1,790,196,137,114,0,137,False,False,True,True,0,0
old212,106,eval-hard-017,generic,False,primary,1,False,867,14,997,27,1109,139,156,109,1,131,False,False,False,False,0,0
old212,106,eval-hard-017,generic,False,primary,2,False,851,10,996,30,1101,135,141,102,1,119,False,False,False,False,0,0
old212,107,eval-easy-031,generic,True,primary,1,False,1496,40,1571,43,1553,25,169,159,3,165,False,False,False,False,0,0
old212,107,eval-easy-031,generic,True,primary,2,False,1471,16,1568,20,1577,29,31,30,0,30,True,True,True,True,0,0
old212,108,eval-easy-031,ours,True,primary,1,False,1167,8,1228,13,1295,80,170,168,0,170,False,False,False,False,0,0
old212,108,eval-easy-031,ours,True,primary,2,False,1226,19,1288,20,1311,43,24,24,0,24,True,True,True,True,0,0
old212,109,eval-moderate-001,ours,True,primary,1,False,848,8,952,13,1050,111,165,157,1,164,False,False,False,False,0,0
old212,109,eval-moderate-001,ours,True,primary,2,False,855,35,963,42,1046,125,26,26,0,26,True,True,True,True,0,0
old212,110,eval-moderate-001,generic,True,primary,1,False,1057,18,1154,26,1240,112,168,161,1,167,False,False,False,False,0,0
old212,110,eval-moderate-001,generic,True,primary,2,False,1065,11,1166,11,1258,103,38,38,0,38,True,True,True,True,0,0
